facet
"{'mp-135', 'mp-1106373', 'mp-69'}"
"{'mp-135', 'mp-1106373', 'mp-1025489'}"
"{'mp-135', 'mp-29720', 'mp-1025489'}"
"{'mp-1079937', 'mp-135', 'mp-1059256'}"
"{'mp-1079937', 'mp-135', 'mp-9968'}"
"{'mp-135', 'mp-1210780', 'mp-9968'}"
"{'mp-135', 'mp-1210780', 'mp-29720'}"
"{'mp-13', 'mp-976280', 'mp-135'}"
"{'mp-757', 'mp-135', 'mp-23'}"
"{'mp-135', 'mp-99', 'mp-11854'}"
"{'mp-13474', 'mp-135', 'mp-1777'}"
"{'mp-13474', 'mp-135', 'mp-11854'}"
"{'mp-135', 'mp-1610', 'mp-11698'}"
"{'mp-1153', 'mp-135', 'mp-1610'}"
"{'mp-135', 'mp-567395', 'mp-29720'}"
"{'mp-135', 'mp-573471', 'mp-279'}"
"{'mp-135', 'mp-29210', 'mp-976408'}"
"{'mp-135', 'mp-29210', 'mp-568404'}"
"{'mp-975904', 'mp-135', 'mp-510430'}"
"{'mp-135', 'mp-976280', 'mp-44'}"
"{'mp-31442', 'mp-135', 'mp-600561'}"
"{'mp-31442', 'mp-135', 'mp-510430'}"
"{'mp-135', 'mp-1138', 'mp-1197547'}"
"{'mp-135', 'mp-155', 'mp-14210'}"
"{'mp-135', 'mp-14210', 'mp-1777'}"
"{'mp-1153', 'mp-135', 'mp-99'}"
"{'mp-135', 'mp-155', 'mp-2286'}"
"{'mp-135', 'mp-2286', 'mp-112'}"
"{'mp-135', 'mp-2286', 'mp-1184067'}"
"{'mp-135', 'mp-18189', 'mp-143'}"
"{'mp-135', 'mp-18189', 'mp-573471'}"
"{'mp-1001835', 'mp-135', 'mp-867227'}"
"{'mp-135', 'mp-33', 'mp-29210'}"
"{'mp-1001835', 'mp-135', 'mp-1197547'}"
"{'mp-757', 'mp-135', 'mp-54'}"
"{'mp-135', 'mp-1960', 'mp-976408'}"
"{'mp-135', 'mp-1960', 'mp-7396'}"
"{'mp-27797', 'mp-135', 'mp-600561'}"
"{'mp-27797', 'mp-135', 'mp-23703'}"
"{'mp-2251', 'mp-135', 'mp-29149'}"
"{'mp-135', 'mp-29149', 'mp-1185319'}"
"{'mp-135', 'mp-567395', 'mp-1777'}"
"{'mp-122', 'mp-135', 'mp-573471'}"
"{'mp-135', 'mp-574275', 'mp-976408'}"
"{'mp-135', 'mp-1197547', 'mp-574275'}"
"{'mp-135', 'mp-44', 'mp-1865'}"
"{'mp-135', 'mp-31066', 'mp-1865'}"
"{'mp-2251', 'mp-135', 'mp-31066'}"
"{'mp-135', 'mp-3348', 'mp-279'}"
"{'mp-1001835', 'mp-135', 'mp-3348'}"
"{'mp-135', 'mp-2530', 'mp-568404'}"
"{'mp-135', 'mp-2530', 'mp-29210'}"
"{'mp-135', 'mp-2857', 'mp-67'}"
"{'mp-2251', 'mp-135', 'mp-542435'}"
"{'mp-135', 'mp-2857', 'mp-542435'}"
"{'mp-135', 'mp-23222', 'mp-569501'}"
"{'mp-135', 'mp-570466', 'mp-569501'}"
"{'mp-87', 'mp-135', 'mp-23703'}"
"{'mp-600561', 'mp-135', 'mp-605839'}"
"{'mp-1001835', 'mp-135', 'mp-605839'}"
"{'mp-49', 'mp-135', 'mp-23703'}"
"{'mp-1153', 'mp-135', 'mp-129'}"
"{'mp-135', 'mp-2286', 'mp-568404'}"
"{'mp-757', 'mp-135', 'mp-28'}"
"{'mp-135', 'mp-28', 'mp-2493'}"
"{'mp-135', 'mp-8181', 'mp-2493'}"
"{'mp-2251', 'mp-135', 'mp-8181'}"
"{'mp-135', 'mp-279', 'mp-1129'}"
"{'mp-135', 'mp-861616', 'mp-1129'}"
"{'mp-135', 'mp-1200708', 'mp-67'}"
"{'mp-135', 'mp-1200708', 'mp-861616'}"
"{'mp-135', 'mp-26', 'mp-1646'}"
"{'mp-135', 'mp-1197547', 'mp-35'}"
"{'mp-135', 'mp-1646', 'mp-123'}"
"{'mp-600561', 'mp-135', 'mp-2074'}"
"{'mp-135', 'mp-1183069', 'mp-29720'}"
"{'mp-135', 'mp-279', 'mp-1777'}"
"{'mp-135', 'mp-1646', 'mp-1184067'}"
"{'mp-135', 'mp-1197547', 'mp-1646'}"
"{'mp-600561', 'mp-135', 'mp-23222'}"
"{'mp-135', 'mp-1358', 'mp-279'}"
"{'mp-1200226', 'mp-135', 'mp-1358'}"
"{'mp-135', 'mp-1105615', 'mp-1184067'}"
"{'mp-1200226', 'mp-135', 'mp-861915'}"
"{'mp-135', 'mp-861915', 'mp-1105615'}"
"{'mp-135', 'mp-861956', 'mp-279'}"
"{'mp-135', 'mp-867200', 'mp-861956'}"
"{'mp-135', 'mp-279', 'mp-1761'}"
"{'mp-135', 'mp-1761', 'mp-1529'}"
"{'mp-135', 'mp-145', 'mp-861964'}"
"{'mp-135', 'mp-861964', 'mp-1529'}"
"{'mp-135', 'mp-7396', 'mp-143'}"
"{'mp-600561', 'mp-135', 'mp-757'}"
"{'mp-862714', 'mp-135', 'mp-87'}"
"{'mp-135', 'mp-862377', 'mp-279'}"
