id,material_id,pretty_formula
520,mp-1029562,Li3InN2
521,mp-1029592,Li3YN2
522,mp-1029625,LiTaN2
523,mp-1029776,Li2GeN2
524,mp-1029932,LiVN2
525,mp-1030649,Li6RuN4
526,mp-10485,BaLiSb
527,mp-10616,BaLiAs
528,mp-1078358,LiOsO3
529,mp-1078460,Li2CuSn2
530,mp-1078552,Li2H6Pt
531,mp-1078799,LiNbF6
532,mp-1078834,LiRuF6
533,mp-1079181,LiOsF6
534,mp-1079394,LiDyGe
535,mp-1079607,LiLaSn2
536,mp-1079885,LiSbS2
537,mp-1080714,Li2AgSn2
538,mp-1095099,LiPtF6
539,mp-1095149,LiLaBi2
540,mp-1095231,Ba3(LiBi)4
541,mp-1095274,LiYbAs
542,mp-1095289,LiCaAs
543,mp-1095352,LiEuAs
544,mp-1095371,LiYbSb
545,mp-1095380,LiEuBi
546,mp-1095586,LiGaH4
547,mp-10970,LiErO2
548,mp-1104144,Li2Sm2Ge3
549,mp-1104331,Li2Nd2Ge3
550,mp-1104368,Li2Pr2Ge3
551,mp-1105932,Li2MgSi
552,mp-1106100,LiEuGe2
553,mp-11172,LiIrF6
554,mp-11582,LiGaSe2
555,mp-11737,Li4SiO4
556,mp-1181012,Li4Re6S11
557,mp-1184955,Li2TlCd
558,mp-1184956,Li2TlHg
559,mp-1184970,Li2HgBi
560,mp-1184976,Li2CdAg
561,mp-1185238,LiTiPd2
562,mp-1185267,LiNpRu2
563,mp-1185270,LiNpRh2
564,mp-1185317,LiBe2Pt
565,mp-1185329,LiAcRh2
566,mp-1185334,LiCeHg2
567,mp-1185335,LiEu2Tl
568,mp-1185354,LiGd2Os
569,mp-1185358,LiMgCd2
570,mp-1185363,LiMgHg2
571,mp-1185368,LiMgIn2
572,mp-1185376,LiLaTl2
573,mp-1185381,LiIn2Ni
574,mp-1185385,LiLuTl2
575,mp-1185386,LiGdTl2
576,mp-1185394,LiGd2Ga
577,mp-1185437,LiThHg2
578,mp-1188183,LiSmGe2
579,mp-1188255,LiLaGe2
580,mp-1188849,LiNdGe2
581,mp-1190364,Li2SnS3
582,mp-1191015,LiNdSn
583,mp-1191159,LiPrSn
584,mp-1191394,Li8Nd7Ge10
585,mp-1191829,Li2Co12P7
586,mp-1192210,LiDySn
587,mp-1192957,Li8Ce7Ge10
588,mp-1193269,Li2SiF6
589,mp-11944,LiYbGe2
590,mp-11947,LiAlAg2
591,mp-1195657,LiSb2F7
592,mp-1195718,Li4SnS4
593,mp-1196908,Li(NdGe)4
594,mp-1197150,Li(PrGe)4
595,mp-1197580,Li6Ca17Hg9
596,mp-11977,LiSnAu
597,mp-1198726,Li(BH)6
598,mp-1201065,Li15H9N8
599,mp-1205941,LiTmGe
600,mp-1206280,Li3YSb2
601,mp-1206759,LiZrS2
602,mp-1206881,LiTaS2
603,mp-1207082,LiMgSb
604,mp-1207212,LiHfS2
605,mp-1210778,Li2Sm2Si3
606,mp-1210780,Li2Pr2Si3
607,mp-1210931,LiFeCl4
608,mp-1210940,Li(YGe)4
609,mp-1211043,LiFeBr4
610,mp-1211056,LiMoN2
611,mp-1211088,LiCaP
612,mp-1211132,Li5OsO6
613,mp-1211138,Li5Ni9P7
614,mp-1211146,Li5Ni9As7
615,mp-1211564,Li(ErGe)4
616,mp-1211602,Li(LuGe)4
617,mp-1211639,LiCa11Sb9
618,mp-12128,Li2MgIn
619,mp-1222297,LiTbS2
620,mp-1222351,LiFeF6
621,mp-1222370,LiGdS2
622,mp-1222442,Li5AuO4
623,mp-1222500,Li3Sn11Pd4
624,mp-1222572,Li7Cu2N3
625,mp-1222602,Li2SiAu
626,mp-1222607,Li2SnPt
627,mp-1222608,Li2SnPd
628,mp-1222612,Li2SnIr
629,mp-1222615,Li2MgSn
630,mp-1222650,Li2MgAu
631,mp-1222659,Li2GaAg
632,mp-1222668,Li2AlGa
633,mp-1222671,Li2CdIn
634,mp-1222673,Li2GaCu3
635,mp-1222722,Li(ZrS2)2
636,mp-1222726,Li(TiTe2)2
637,mp-1222748,Li2UBr6
638,mp-1223278,Li(TiS2)2
639,mp-1232420,LiMg2Ir
640,mp-1246834,LiCoN
641,mp-12580,Li2CdSn
642,mp-13140,BaLiGe2
643,mp-13322,LiGeRh2
644,mp-13396,LiIn2Rh
645,mp-13474,LiErGe
646,mp-13725,Li3PO4
647,mp-13915,LiNi2Sn
648,mp-13916,LiCaSi2
649,mp-13985,Li2PdF6
650,mp-14210,LiGdGe
651,mp-14712,Li7PN4
652,mp-14753,Li7TaN4
653,mp-15254,Li3AlF6
654,mp-15551,Sr2LiSi3
655,mp-15558,Li3GaF6
656,mp-15791,LiErS2
657,mp-15792,LiGdSe2
658,mp-15794,LiYSe2
659,mp-15795,LiDySe2
660,mp-15820,LiHoGe
661,mp-15821,LiNdGe
662,mp-15845,SrLi4N2
663,mp-15960,Li5AlO4
664,mp-15999,Li3AuS2
665,mp-16264,LiCaSb
666,mp-16349,LiNi2Ge
667,mp-16828,Li3B7O12
668,mp-17159,Li2CrO4
669,mp-17491,Ba2LiGe3
670,mp-18050,Li2MoO4
671,mp-18189,LiTmSn
672,mp-18925,Li6CoO4
673,mp-18988,Li2MnO3
674,mp-19117,Li4MoO5
675,mp-19219,Li3VO4
676,mp-19260,Li2WO4
677,mp-19340,LiVO2
678,mp-19440,LiVO3
679,mp-20150,LiCa2Si3
680,mp-20234,Li2BPt3
681,mp-20363,LiGa2Pt
682,mp-20428,LiCeGe2
683,mp-20567,LiGa2Ru
684,mp-20657,Li2BPd3
685,mp-20698,LiCoAs
686,mp-20801,LiIn2Pd
687,mp-21894,LiSn4Ir
688,mp-27227,LiAg3O2
689,mp-27231,Li2TeO3
690,mp-27419,LiBiF6
691,mp-27483,Li5TlO4
692,mp-27797,Li4H4Rh
693,mp-27920,Li8CoO6
694,mp-28146,LiGa5O8
695,mp-28253,LiBiO2
696,mp-28326,LiGaBr4
697,mp-28327,LiGaBr3
698,mp-28463,LiNb3Cl8
699,mp-28523,Li2Ta3N5
700,mp-28549,Li8SiO6
701,mp-28567,LiBiF4
702,mp-28612,Na(LiSi2)3
703,mp-28613,LiBPt3
704,mp-28994,KLi2As
705,mp-29040,Li3Zr4F19
706,mp-29149,Li4NCl
707,mp-29195,LiPO3
708,mp-2927,LiAg2Sn
709,mp-2935,Li2GeAu
710,mp-29365,Li5BiO5
711,mp-29410,Li2B2S5
712,mp-29754,SrLiN
713,mp-30100,Li2B2Se5
714,mp-30129,Li4TaN3
715,mp-30254,Ba3(LiSn2)4
716,mp-30349,Li2AgPb
717,mp-30381,Li2GaAu
718,mp-30456,SrLiBi
719,mp-30591,Li2CuSn
720,mp-30758,Li2MgPb
721,mp-30763,LiPd2Pb
722,mp-30816,Li2AlPd
723,mp-30818,Li2AlPt
724,mp-30821,LiAl2Rh
725,mp-31066,LiUN2
726,mp-31096,Li3AlH6
727,mp-31208,LiIn2Ir
728,mp-31441,Li2GaIr
729,mp-31442,Li2InRh
730,mp-31468,LiCaN
731,mp-31488,Li3NbO4
732,mp-3151,Li3TaO4
733,mp-3161,LiAlSi
734,mp-3216,Li2ZrN2
735,mp-3297,Li10Zn4O9
736,mp-3348,LiBIr
737,mp-3427,LiAlO2
738,mp-35759,Li2NiF4
739,mp-35841,Li2CuGe
740,mp-35975,Li2MoO3
741,mp-3635,LiBO2
742,mp-3647,LiGaS2
743,mp-3700,LiYF4
744,mp-38280,LiTiO2
745,mp-38487,Li7BiO6
746,mp-39020,LiTa3N4
747,mp-3949,K7LiSi8
748,mp-4156,Li2ZrO3
749,mp-4226,LiCrS2
750,mp-4495,KLiTe
751,mp-4556,Li2SO4
752,mp-4558,Li4GeO4
753,mp-4586,LiAlTe2
754,mp-4622,Li2BeF4
755,mp-4657,Li5GaO4
756,mp-4804,Li4TeO5
757,mp-504670,LiCa2Ge3
758,mp-5048,LiGaTe2
759,mp-5127,LiCuO
760,mp-530177,Li5Mn7O16
761,mp-530480,Li19(FeAs)20
762,mp-532413,Li5B7S13
763,mp-540946,LiReO4
764,mp-541010,Li2Ni12P7
765,mp-5418,Li6Zr2O7
766,mp-542435,Li3ScN2
767,mp-5488,LiInO2
768,mp-5515,Li7MnN4
769,mp-551675,Li3UO4
770,mp-554577,Li4P2O7
771,mp-554689,LiCoF4
772,mp-555112,Li2CrF6
773,mp-555377,Li4WO5
774,mp-555874,LiAsS2
775,mp-556229,Li2MnF5
776,mp-556550,Li2NiO3
777,mp-559701,LiV2F6
778,mp-561396,Li3CrF6
779,mp-567097,LiCu2Ge
780,mp-569373,Li8Zn2Ge3
781,mp-569450,LiB6C
782,mp-569501,LiCaBi
783,mp-569788,LiZnGe
784,mp-570218,LiBeH3
785,mp-570813,Li2UI6
786,mp-5853,LiSi2N3
787,mp-605839,Li2B2Rh3
788,mp-624492,Li(Fe3Ge2)2
789,mp-625211,LiH3O2
790,mp-638141,LiSn5Rh3
791,mp-642847,Li4H6Ru
792,mp-642996,Li4H6Os
793,mp-643656,Li5H9Pt2
794,mp-644136,Li2H2Pt
795,mp-644389,Li2H2Pd
796,mp-652399,Li(FeGe)6
797,mp-655591,LiB13C2
798,mp-673833,Li7VAs4
799,mp-675069,LiNbO3
800,mp-675779,Li2Mo3S4
801,mp-675941,Li7IN2
802,mp-676361,Li3ErCl6
803,mp-680450,K2LiSn4
804,mp-684024,Li2SiN2
805,mp-685194,Li4Ti5O12
806,mp-697047,Li3H4Rh
807,mp-7080,Li5(NiN)3
808,mp-7117,LiAlSe2
809,mp-722890,Li3H6Ir
810,mp-7243,LiSnPd2
811,mp-733455,Li3H6Rh
812,mp-7471,Li3AuO3
813,mp-7473,LiCu2Si
814,mp-752936,Li2MnF6
815,mp-753031,LiCu5F12
816,mp-753257,LiCuF4
817,mp-754237,LiTmO2
818,mp-754605,LiLuO2
819,mp-755013,Li5TaO5
820,mp-755193,Li2FeF6
821,mp-758265,LiCu2F6
822,mp-759169,Li2CuF6
823,mp-760147,Li5CoO4
824,mp-760255,Li3CuF6
825,mp-7603,Li2TiF6
826,mp-760375,Li3VS4
827,mp-760483,Li2PdO3
828,mp-760680,Li2Fe12P7
829,mp-7608,Li2PdO2
830,mp-766084,Li7Nb12O24
831,mp-766823,Li7Ti11O24
832,mp-767171,Li5(NbS2)7
833,mp-767218,Li9(NbS2)14
834,mp-770533,Li6MnO4
835,mp-770632,Li3CrO4
836,mp-770932,LiSbO3
837,mp-772085,LiNb10O18
838,mp-772290,LiAgO
839,mp-774082,Li(CoO2)2
840,mp-774155,Li2FeO3
841,mp-774702,Li3BiO4
842,mp-7756,SrLiSb
843,mp-776627,Li3FeF6
844,mp-7936,LiNbS2
845,mp-8007,LiUO3
846,mp-8152,Li2CeAs2
847,mp-8180,LiNO3
848,mp-8181,Li2CeN2
849,mp-8452,NaLiS
850,mp-8481,LiPrGe
851,mp-8610,Li8PtO6
852,mp-861616,LiSc2Ir
853,mp-861624,LiLaHg2
854,mp-861629,LiMnPd2
855,mp-861651,Li2PdPb
856,mp-861660,LiNdHg2
857,mp-861666,LiRu2W
858,mp-861667,LiSbRh2
859,mp-861736,LiSbPd2
860,mp-861875,LiHf2Re
861,mp-861876,LiAc2Si
862,mp-861881,LiGeAu2
863,mp-861882,LiGeIr2
864,mp-861886,LiDyHg2
865,mp-861894,Li2LaSn
