id,chemsys
630,N-Li-Ba-Na
631,F-Li-Al-Sr
632,Ru-O-Li-La
633,N-Li-Ba-W
634,F-Li-Al-Na
635,Ru-O-Li-Sr
636,P-Eu-Li-S
637,Cs-O-S-Li
638,H-O-Li-Te
639,Mn-O-Zn-Li
640,In-O-Li-Si
641,P-S-Li-Si
642,P-Sn-Li-Se
643,K-Co-O-Li
644,Mn-O-Li-Fe
645,K-S-Li-Mn
646,O-Li-Sb-Ni
647,Co-O-Li-Ni
648,Sn-Li-Pd-Mg
649,Mn-O-Li-Sb
650,B-Co-O-Li
651,O-Li-Ti-Te
652,O-Li-Sb-V
653,O-Li-Fe-Sb
654,Nb-O-Li-Fe
655,Co-O-Li-Sb
656,P-O-Li-W
657,Nb-O-Li-Cr
658,O-C-Li-Fe
659,O-Zn-Li-Ti
660,O-C-Li-V
661,Te-O-Li-Ni
662,K-S-Li-V
663,Bi-O-Li-Br
664,Sn-O-Li-Ni
665,B-Bi-O-Li
666,Mn-O-Li-La
667,Co-O-Li-Ge
668,O-C-Li-Cr
669,Fe-O-Li-Cr
670,Mn-O-Li-Ni
671,Co-O-Li-Cr
672,Sn-O-Li-Fe
673,H-N-Li-Te
674,Nb-O-Li-Ba
675,O-Li-Ti-V
676,W-O-Li-V
677,O-Li-Ti-Ni
678,Bi-O-Li-I
679,Mn-O-Li-Ti
680,Co-Nb-O-Li
681,B-O-Li-Fe
682,O-Li-Ba-Sb
683,O-Zn-Li-Ge
684,Cs-O-Li-Ge
685,Rb-O-Li-Ge
686,Ru-Li-Ta
687,Li-Fe-Rh
688,Be-Li-Pd
689,Yb-Li-Tl
690,In-Sm-Li
691,Li-Hf-Pd
692,B-O-Li-Ge
693,N-Li-Fe-Sr
694,Fe-N-Li-Ba
695,O-As-Li-Na
696,Ga-K-As-Li
697,P-Li-Al-Na
698,B-N-Li-Sr
699,P-Sm-Li-Cu
700,In-O-Li-I
701,Yb-In-Li-Ge
702,Ir-Li-Ta
703,Cs-In-Li-Br
704,F-In-Li-Tl
705,Rb-In-Cl-Li
706,Ba-O-B-Li-Na
707,Cs-O-Sr-P-B-Li
708,Ba-Cs-O-P-Li
709,O-P-K-Li-B
710,N-Mg-Ca-Li-Si
711,Ca-N-Li-Al
712,O-P-B-Li-Na
713,N-O-Sr-Li-Si
714,N-Li-Al-Sr
715,Be-O-Sr-B-Li
716,O-P-Rb-B-Li
717,Sn-S-Li-Si
718,Re-N-Li-Sr
719,Fe-O-Li-La
720,O-S-Li-Ge
721,Re-O-Li-Sr
722,H-O-Br-Li-Al
723,Ba-O-Mn-V-Li
724,K-Bi-Cl-Li
725,K-Li-Rh-F
726,K-Ir-Li-F
727,Cs-Er-Li-Cl
728,Cs-Br-Li-Y
729,Tb-Cs-Cl-Li
730,Pr-Cs-Li-Br
731,Nd-Cs-Cl-Li
732,Nd-Cs-Li-Br
733,Ce-Cs-Li-I
734,Ce-Cs-Li-Br
735,Cs-Tm-Li-Cl
736,Pr-Cs-Li-I
737,Nd-Cs-Li-I
738,Ce-Cs-Li-F
739,Ce-Cs-Cl-Li
740,Cs-Bi-Li-F
741,Cs-Eu-Li-Cl
742,Rb-F-Li-Tl
743,Rb-F-Bi-Li
744,Rb-F-In-Li
745,Rb-Lu-Li-Cl
746,Rb-Cl-Li-Sb
747,Rb-Cl-Li-Sc
748,Rb-F-Li-Y
749,Rb-Bi-Cl-Li
750,Rb-Er-Li-Cl
751,Rb-F-Li-Sb
752,Rb-Br-Li-Y
753,Rb-Tm-Li-Cl
754,Rb-F-As-Li
755,Rb-F-Li-Rh
756,Rb-F-Ru-Li
757,Rb-F-Li-Sc
758,Rb-F-Li-Ti
759,O-Li-Ti-Sb
760,Bi-O-Li-Fe
761,H-O-Li-I
762,F-O-Nd-B-Li
763,O-Er-Li-W
764,C-F-O-Rb-Cd-Li
765,Ca-H-As-Li
766,Cd-Li-As-Ba
767,Se-Mn-Sn-Li
768,Mn-S-Li-Ge
769,O-Li-Ge-Sc
770,H-N-O-S-Li
771,Cs-O-Nd-B-Li
772,Ba-F-O-K-Li-B-Al
773,P-Nd-N-Li
774,Cs-O-Mn-P-Li
775,O-Nd-Rb-B-Li
776,H-Sn-O-Li
777,O-Nd-K-Li-B
778,Se-H-O-Li-Sc
779,Cs-Pb-O-P-B-Li
780,H-O-As-S-Li
781,Se-H-O-Mn-Li
782,F-O-P-Mg-Li-Na
783,Pr-K-Li-F
784,Zn-H-Mg-B-Li
785,F-As-Li-Xe
786,C-Ba-N-Li-Al
787,Cs-O-Gd-B-Li
788,Mo-In-O-K-Li
789,H-O-Rb-S-Li
790,F-O-P-Fe-Li-Na
791,F-O-Mn-P-Li
792,P-Sm-O-Li
793,H-N-Mg-B-Li
794,F-O-Ni-P-Li-Na
795,C-N-Eu-I-Li
796,H-O-Mn-Ca-Li-Si
797,Zn-F-O-S-Li
798,Cs-P-U-S-Li
799,P-Ce-O-Li
800,C-F-O-Y-P-Li-Na
801,Rb-Cl-Li-Rh
802,Rb-Ru-Cl-Li
803,K-Li-Cu-F
804,F-Lu-Li-Na
805,F-Li-Ho-Na
806,F-Tm-Li-Na
807,F-Li-Rh-Na
808,B-O-Lu-Li
809,O-Li-La-W
810,O-Li-Ge-Fe
811,O-Dy-Li-Te
812,O-Sm-Ru-Li
813,O-Er-Li-Te
814,Ga-O-Li-P
815,Nd-Ru-O-Li
816,Ca-F-Li-V
817,Pr-Ru-O-Li
818,O-Eu-Li-Te
819,Be-O-I-P-Li
820,Tb-O-Li-Te
821,Be-O-As-Br-Li
822,O-Li-Y-Te
823,Sm-O-Li-Te
824,Mo-O-Sm-K-Li
825,Zn-H-O-P-Li
826,O-N-Lu-Li
827,Gd-O-Li-Te
828,Bi-O-Li-Sr
829,N-Li-Cu-Sr
830,H-Mn-Rb-B-Li
831,Zn-Li-S-Na
832,O-Li-Ti-Rh
833,F-Li-Rh-Ni
834,Ga-H-O-B-Li
835,Ca-N-Li-Cu
836,As-Li-I-S
837,N-O-La-Li-Si
838,H-B-Li-Sc
839,Mo-O-Mg-Li-Al
840,P-Cd-Li-Mg
841,H-In-O-P-Li
842,In-O-P-Fe-Li
843,H-O-P-Li-Sc
844,O-P-Fe-Ti-Li
845,O-P-Cr-Ti-Li
846,Cl-H-Ce-B-Li
847,Be-F-Li-Na
848,Cs-Li-F-V
849,Os-Sm-O-Li
850,Pr-O-Li-Os
851,Os-Nd-O-Li
852,O-Y-Li-Si-Na
853,Rb-O-As-Li
854,Cs-O-As-Li
855,O-K-S-Li-Na
856,Rb-F-Li-Ga
857,Ga-Cs-F-K-Li
858,C-Ba-O-Cu-Li
859,O-Zr-Li-Si-Na
860,O-Zr-K-Li-Si
861,N-O-Re-Ca-Li
862,O-Cr-K-Li-Si-Na
863,Ca-F-Li-Hf
864,O-Li-Ti-Sr
865,F-Co-Li-Ba
866,O-Rb-Li-Si-Na
867,O-As-Li-V
868,Cs-O-K-Li-Si-Na
869,O-Zn-Li-As
870,Tb-O-Li-P
871,Rb-O-Zn-Li
872,Rb-O-Li-Cr
873,Yb-O-Li-W
874,Mn-O-Li-B
875,Mn-O-As-Li
876,O-Li-Ge-Ni
877,Mn-Li-Fe-F
878,Rb-F-Li-Fe
879,K-Bi-O-Li
880,Rb-O-Li-I
881,Al-Cl-O-Li-Si
882,H-K-Li-Al
883,H-O-Cd-Ge-Li
884,H-Li-Al-Na
885,H-O-Ni-P-Li
886,H-Co-O-P-Li
887,P-Bi-O-Li
888,Co-O-Li-Na
889,O-Fe-Ti-K-Li-Si-Na
890,Cs-O-Li-V
891,N-Nb-Li-Sr
892,Cs-O-Li-Mo
893,Co-O-Li-W
894,Rb-Nb-S-Li
895,Re-F-O-Li
896,Zn-O-P-K-Li
897,Ga-Cl-O-Li-Si
898,O-Mn-P-Ca-Li
899,S-Li-Ti-Na
900,Be-O-P-Br-Li
901,O-Br-Li-Ge-Al
902,O-Sr-Ca-Li-Si
903,Ga-Cs-O-Li
904,Sn-Zn-Li-S
905,P-O-Eu-Li
906,Ga-O-Br-Li-Si
907,Cl-O-Li-Ge-Al
908,Ga-O-I-Li-Si
909,O-I-Li-Ge-Al
910,H-F-Zr-Rb-Li
911,F-O-La-S-Li
912,H-O-B-Li-Si-Na
913,K-O-Li-V
914,Mo-In-O-Mg-Li
915,Mo-O-P-Li-Na
916,O-Li-Ge-V
917,Na-O-K-Li-Te
918,Be-F-O-Ca-Li-Si
919,Be-Cl-O-As-Li
920,O-Li-Ge-Ta
921,H-O-P-U-Li
922,U-O-Li-Mo
923,Be-Cl-O-P-Li
924,Cs-F-Fe-K-Li
925,C-Pr-F-N-Li
926,Cl-Mo-O-Fe-Li
927,Co-O-Li-Si
928,Ga-N-Li-Sr
929,C-N-Eu-Br-Li
930,N-Co-Li-Sr
931,Ca-Li-Sb-Mg
932,C-N-Sr-Br-Li
933,Si-Li-Ba-Mg
934,Ca-In-Li-Ge
935,In-Li-Ge-Sr
936,C-Cs-N-Ir-Li
937,Mo-O-Nd-K-Li
938,Mn-O-Li-Mg
939,H-F-N-Zr-Li
940,Se-Cl-O-Nd-Rb-Li
941,Cs-O-B-Li-Na
942,O-As-Li-Ti
943,B-O-Cd-Li
944,Be-K-Li-F
945,F-O-Ti-Ca-K-Li-Si
946,Cl-H-O-Li-Al
947,P-K-Li-Al
948,Se-Cl-Pr-O-Rb-Li
949,Nb-O-Li-Ge
950,F-In-Li-Na
951,Zn-O-P-Li-Na
952,Nd-O-Li-Te
953,Ca-B-N-Li
954,Cl-O-Eu-Li-Si
955,Sn-O-K-Li-Si
956,Ta-O-P-K-Li
957,H-O-Mn-Li-Al
958,H-Cs-O-Li
959,Se-H-O-Cd-Li
960,H-O-K-S-Li
961,P-Se-Li-Ge
962,P-Li-Se-Si
963,H-N-O-La-Li
964,Mo-O-Mn-K-Li
965,C-O-Cu-Sr-Li
966,H-O-P-Cr-V-Li
967,O-Bi-Cl-Li
968,H-O-P-Fe-V-Li
969,H-N-P-S-Li
970,F-O-P-Cr-V-Li
971,Ca-O-Li-Ge
972,C-O-Mn-P-K-Li
973,Mn-Co-O-Li
974,F-O-P-Fe-V-Li
975,Co-O-Li-Ti
976,Mn-Nb-O-Li
977,K-O-Li-Ni
978,O-Ti-Rb-Li-Na
979,O-Li-Ti-Mg
980,K-Zn-Li-S
981,O-Li-Cr-Sb
982,Sn-O-Cr-V-Li
983,Tb-P-Li-Cu
984,Cs-O-Li-Ti
985,H-Ir-Li-Mg
986,Se-H-N-As-Li
