material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-18510,Sr2SiO4,4.470,0.000,False,[36041]
mp-17825,Sr2SiO4,4.377,0.009,False,[35667]
mp-16432,Sr3(BO3)2,4.394,0.000,False,[93395]
mp-3393,Sr3Al2O6,4.205,0.000,False,"[71860, 66062]"
mp-28940,Sr4Nb2O9,3.648,0.000,False,[79217]
mp-5492,SrAl2O4,4.056,0.006,False,"[160299, 153164, 160298]"
mp-3094,SrAl2O4,4.141,0.000,False,"[291357, 291361, 160297, 26466, 160296]"
mp-1019258,SrF2,5.936,0.174,False,"[262350, 168801]"
mp-981,SrF2,6.753,0.000,False,"[41402, 181245, 248432, 40414, 260881, 168800, 262348, 248431]"
mp-1218249,SrLa4Si3O13,4.421,0.000,True,[]
mp-2472,SrO,3.287,0.000,False,"[181061, 181274, 180194, 28904, 248393, 109461, 163625, 105548, 249178, 52276, 187678, 26960]"
mp-1056,Tb2O3,3.901,0.000,False,"[33653, 27995, 647494, 184537, 647501, 647509, 40474]"
mp-2457,Tb2O3,3.946,0.040,False,"[28172, 160227]"
mp-11347,TbF3,7.751,0.000,False,"[167471, 167472, 167473, 200956, 167474]"
mp-14093,TbOF,4.944,0.000,False,"[184008, 28890, 184009]"
mp-643,ThO2,4.425,0.000,False,"[28778, 647528, 647527, 61585, 246706, 105550, 647529, 647530, 647523, 77691, 647525, 61586, 77690, 601173, 647531, 236586, 647524, 53999, 28685]"
mp-1767,Tm2O3,3.980,0.000,False,"[647578, 33657, 78582, 184541, 90669, 61270, 647581]"
mp-1207669,TmOF,4.851,0.000,True,[]
mp-558573,Y2O3,3.960,0.047,False,"[181826, 160219, 647650, 192863]"
mp-2652,Y2O3,4.056,0.000,False,"[193377, 237970, 193375, 193376, 193374, 187274, 41936, 160890, 290965, 86814, 81861, 66242, 85355, 82420, 290963, 16394, 86817, 78581, 186675, 153500, 193042, 181871, 155173, 184530, 185295, 23811, 290961, 26190, 27772, 647653, 181825, 80033, 86815, 77081, 86813, 151761, 66730, 33648, 66243, 41267, 151760, 290960, 192862, 290964]"
mp-10219,YOF,4.948,0.009,False,[76426]
mp-3637,YOF,4.954,0.000,False,"[184004, 30623, 14282]"
mp-865934,YbF2,6.735,0.000,True,[]
mp-1216,YbO,3.473,0.000,False,"[77710, 151764]"
