0,1,2,3,4,5,6
mp-1178133,mp-1184905,mp-3963,mp-971,,,
mp-1184905,mp-1767,mp-28930,mp-753774,,,
mp-1184905,mp-28930,mp-3963,mp-753774,,,
mp-1184905,mp-1205180,mp-1767,mp-28930,,,
mp-1184905,mp-3963,mp-753774,mp-971,,,
mp-1018122,mp-1184905,mp-1216546,mp-1767,,,
mp-1184905,mp-1205180,mp-1216546,mp-1767,,,
mp-1184905,mp-1560,mp-1747,mp-2051,,,
mp-1078920,mp-1184905,mp-1560,mp-26,,,
mp-1078920,mp-1184905,mp-1560,mp-2051,,,
mp-1184905,mp-1747,mp-2051,mp-2613,,,
mp-1184905,mp-1194443,mp-1747,mp-30,,,
mp-1184905,mp-1194443,mp-1747,mp-2613,,,
mp-1184905,mp-2350,mp-26,mp-4511,,,
mp-1184905,mp-2292,mp-26,mp-4511,,,
mp-1022,mp-1184905,mp-2292,mp-4511,,,
mp-1022,mp-1184905,mp-7958,mp-971,,,
mp-1022,mp-1184905,mp-2292,mp-7958,,,
mp-1184905,mp-15781,mp-2350,mp-4511,,,
mp-1022,mp-1184905,mp-15781,mp-4511,,,
mp-1056,mp-11698,mp-1184905,mp-129,,,
mp-1056,mp-1184905,mp-1211821,mp-129,,,
mp-1056,mp-1184905,mp-1211821,mp-971,,,
mp-1184905,mp-16705,mp-38,mp-91,,,
mp-1184905,mp-4519,mp-504840,mp-971,,,
mp-1184905,mp-4519,mp-504840,mp-91,,,
mp-1184905,mp-16705,mp-4519,mp-91,,,
mp-1184905,mp-616559,mp-72,mp-742,,,
mp-1022,mp-1184905,mp-1188441,mp-30,,,
mp-1022,mp-1184905,mp-2078,mp-742,,,
