material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-1138,LiF,8.716,0.000,False,"[52234, 18012, 53839, 44879, 41409, 62361, 44272, 181799]"
mp-23703,LiH,3.018,0.000,False,"[638265, 638263, 44748, 61751, 173192, 61749, 61754, 61752, 26874, 638266, 173177, 173178, 26873, 157495, 173205, 168789, 61750, 187680, 28557, 61753, 187681, 56066, 53975, 603869]"
mp-23702,LiH2N,3.144,0.000,False,"[168793, 165467, 182470, 156000, 51679, 10354, 173179, 237203, 182471, 37370, 161017, 168792, 154395]"
mp-1188218,LiH2N,3.937,0.277,False,"[237212, 237214, 237211]"
mp-1427,Lu2O3,4.023,0.000,False,"[193361, 194467, 428543, 642475, 151762, 40471, 642477, 96211, 33659, 168341]"
mp-1222825,Lu4Zr3O12,4.118,0.000,True,[]
mp-24383,Mg(H2N)2,3.014,0.000,False,"[16222, 157494, 156001]"
mp-3536,MgAl2O4,5.111,0.000,False,"[24492, 39162, 24766, 39163, 162259, 182859, 167484, 290115, 39164, 79000, 31375, 185608, 31376, 26845, 56116, 31373, 26846, 52388, 201174, 161055, 86506, 39161, 657031, 40030, 172280, 655149, 157768, 22354]"
mp-5857,MgAl2O4,4.977,0.099,False,"[98037, 161056, 157186]"
mp-1009129,MgO,3.002,0.387,False,[166273]
mp-1265,MgO,4.445,0.000,False,"[52026, 64928, 77821, 642714, 161059, 159373, 170905, 159369, 248385, 236617, 159376, 61325, 159374, 159367, 64930, 157527, 159372, 77759, 642713, 157528, 52275, 642716, 9863, 173132, 157525, 159378, 642712, 157523, 158103, 157524, 95468, 157526, 188324, 159375, 159371, 64929, 44927, 31051, 104844, 41990, 159368, 161607, 173128, 169450, 88058, 60692, 56143, 60492, 159377, 101007, 181456, 29127, 26958, 104845]"
mp-549706,MgO,3.287,0.074,False,"[181461, 236618, 161842, 162607]"
mp-6426,Na2MgSiO4,3.769,0.002,False,"[84563, 84562]"
mp-6406,Na2MgSiO4,3.765,0.000,False,"[15619, 15618]"
mp-4533,Na2SiO3,3.861,0.000,False,"[24664, 74640, 15388]"
mp-990440,Na2ZrO3,4.359,0.000,True,[]
mp-7500,Na4SiO4,3.222,0.000,False,"[15500, 62594]"
mp-14726,Na4TiO4,3.316,0.000,False,[69621]
mp-28559,Na6Be8O11,3.616,0.000,False,[65247]
mp-556168,Na7Al3O8,3.117,0.000,False,[26405]
mp-7748,NaAlO2,4.734,0.065,False,[22216]
mp-9212,NaAlO2,3.801,0.000,False,[79404]
mp-5088,NaGdO2,3.117,0.000,False,"[22040, 97542]"
mp-755586,NaLaO2,3.241,0.000,True,[]
mp-559904,NaLi3SiO4,4.500,0.000,False,[202115]
mp-8128,NaNdO2,3.334,0.000,False,[31317]
mp-8470,NaPrO2,3.197,0.000,False,[61682]
mp-754027,NaSmO2,3.613,0.000,True,[]
